,link_name,num_shares,status_message,status_type
41,Timeline Photos,194,"A ne pas rater !! Pack Mariage Russel Hobbs à 169 TTC seulement !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
42,Timeline Photos,193,"Vivez une expérience de jeu en 3D incomparable avec le nouveau ASUS ROG G74 disponible en exclusivité chez Mytek au prix de 3259D.
www.mytek.tn",photo
43,Humeur & Bon goût...,191,"صباحكم ورد وفل وياسمين...صباح يفرح و يسعد الغالين...:)
Com d'hab', Pleins de promos et de nouveaux produits vous attendent sur notre site web : www.mytek.tn",photo
44,Timeline Photos,191,"***** De la performance dans un boitier ultra fin et design ******
Le nouveau Samsung ST66 est l'ultime alliance entre l'extrême finesse et la performance photographique. Avec son capteur 16 Millions de pixels et son ouverture F2.5, il vous livrera toute l'amplitude photographique dont vous avez besoin en toute circonstance.
----> Disponible chez MyTEk en plusieurs coloris au prix de 269 DT",photo
45,Timeline Photos,189,,photo
46,MyTEK,189,"صباحكم ورد وفل وياسمين...:)
Com d'hab', Pleins de promos et de nouveaux produits vous attendent sur notre site web : www.mytek.tn",photo
47,Timeline Photos,187,"Portable Packard bell Dual Core à 629 TTC seulement !
www.mytek.tn",photo
48,Timeline Photos,181,"Pack vidéosurveillance TECH-COM : 4 cameras+DVR pour 429 TTC seulement ! Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
49,Timeline Photos,175,"Tablette PointOfView MOBII 703 à 129 TTC !!
www.mytek.tn",photo
50,Timeline Photos,174,"Tablette PointOfView MOBII 701 à 149 TTC au lieu de 199 TTC !!
www.mytek.tn",photo
51,Timeline Photos,172,"Bonjour ;)
www.mytek.tn",photo
52,Timeline Photos,172,اللهم ألبسنا بالقرآن الحلل واسكنا به الظلل وأسبغ علينا به النعم وأدفع عنا به النقم واجعلنا به عند الجزاء من الفائزين وعند النعماء من الشاكرين وعند البلاء من الصابرين ولا تجعلنا ممن استهوته الشياطين فشغلته بالدنيا عن الدين فأصبح من النادمين وفي الأخرة من الخاسرين.اللهم آمين.,photo
53,Timeline Photos,164,"MyTEK recrute...
www.mytek.tn",photo
54,Timeline Photos,160,,photo
55,Timeline Photos,158,"Surveillez votre résidence ou votre commerce avec caméra 
D-link facile à installer sur WiFi sans DVR à 89 TTC !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
www.mytek.tn",photo
56,Timeline Photos,154,"Tablette AXON Kidzy 70 7"" WiFi  à 65dt DT Seulement ! !
Pour les 20 premières Commandes en ligne au lieu de 95dt.
http://www.mytek.tn/recherche?controller=search&orderby=position&orderway=desc&search_query=tablette+kidzy&submit_search=",photo
57,WAaaaaoouuu !!.....,154,Magnifique !!!,video
58,Timeline Photos,147,::::: Transformez votre style avec la tablette ASUS Transformer Pad TF101 disponible chez MyTEK au prix promo de : 899 DT !!!,photo
59,Humeur & Bon goût...,144,"""Le bonheur est souvent la seule chose qu'on puisse donner sans l'avoir et, c'est en le donnant qu'on l'acquiert ...""
Bonjour à Toutes & à Tous :)

www.mytek.tn",photo
60,Timeline Photos,141,"Nous recrutons des conseillers commerciaux (Tunis)
Bac + 2 min / Age 35 ans max / Expérience souhaitée
Envoyer CV et LM à recrutement@mytek.tn",photo
61,Catalogue Juillet-Août 2012...,137,":::::::  Catalogue MyTEK Juillet-Août 2012  :::::::

Faites le plein de bonnes affaires et profitez des meilleures promotions en consultant notre nouveau catalogue été 2012 (Juillet-Août), où un vaste choix de produits aux meilleurs prix vous attend. !!!

::::: Prière consulter notre site ou suivre ce lien : http://www.mytek.tn/catalogue-juillet-2012/catalogue.html",photo
62,Timeline Photos,134,"Les meilleures offres sont toujours chez Mytek ! Tablette Asus Memo Pad 7'' à 149 TTC au lieu de 199 TTC !!
www.mytek.tn",photo
63,Timeline Photos,133,"SABA 48’’ FULL HD + PAIEMENT 6 FOIS SANS INTÉRÊT+ GARANTIE 2 ANS à 1060 TTC !!!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
www.mytek.tn",photo
64,Timeline Photos,133,":::::::::: Nouvel iPad : Enfin disponible chez MyTEK !

Voici venir l'iPad 3, ou plutôt le « nouvel iPad », comme le nomme Apple. La troisième génération de tablette de la firme reçoit un écran haute définition, un processeur graphique plus performant.

En résumé, voici les nouveautés à retenir :

    Nouvel écran Retina 3,1 millions de pixels
                                 / résolution 2047 x 1536
    Compatible avec le réseau 3G + 4G
    Processeur Dual Core A5X + Puce graphique Quad Core
    Caméra iSight 5MP avec enregistrement HD 1080p
    9h d'autonomie en 3G/4G - 10h d'autonomie sans 3G/4G
    Disponible en noir et blanc",photo
65,Timeline Photos,130,"Enregistrer tout ce qui se déroule devant vous...
Dashcam FullHD est disponible chez Mytek a 135DT seulement!!!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
66,Timeline Photos,126,Mytek souhaite bonne chance pour l'équipe nationale de football...  !!!,photo
67,DELL INSPIRON N5110 I3/1GO DEDIÉE,123,"DELL INSPIRON N5110 I3/1GO DEDIÉE à 899DT TTC 
avec sacoche DELL offerte",link
68,Timeline Photos,121,"Excellente journée à Tous :)
www.mytek.tn",photo
69,Timeline Photos,121,"Inchallah dima nejhin... dima ferhin... dima fel aleli ye rab !!!!
Ye rab, wafek el ness el kol ... ye rab !!!!
******
5ème idée Cadeau : CADEAU DE TAILLE pour nos bacheliers passés SANS FAILLE !!!!
l'iPAD 2 16Go Wifi 3G disponible chez MyTEK en deux couleurs Noir & Blanc....au prix de 1079 DT.",photo
70,Humeur & Bon goût...,120,"Bonjour à toutes et à tous !!! Un matin fleuri vous est offert par MyTEK :)
Com d'hab', Pleins de promos et de nouveaux produits vous attendent sur notre site web : www.mytek.tn",photo
71,Timeline Photos,118,,photo
72,Timeline Photos,116,"Préparez vos meilleurs jus d'agrumes avec Mytek !!! 
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
73,Timeline Photos,116,"Bonjour à toutes et à tous.
www.mytek.tn",photo
74,Timeline Photos,115,"M A B R O U K à Chedia Hafsi a gagné une superbe tablette ASUS
Restez connectés à notre page le prochain cadeau sera une Tablette 3G HP ;)
Bonne chance à tous 
www.mytek.tn",photo
75,Timeline Photos,115,"VENTE  FLASH   HP Pavilion Intel i7 4ème génération à 1349 TTC au lieu de 1489 TTC !! 
www.mytek.tn",photo
76,Timeline Photos,112,"Inchallah eidkom mabrouk w snine dayma !!! :)
Yen3ad alikom bel saha wel farha ye rab.

www.mytek.tn",photo
77,Humeur & Bon goût...,111,"::::: Ahla Sbeh le ahla ness ! Excellent weekend à toutes & à tous !!!

:::::: Faites le plein de bonnes affaires et profitez des meilleures promotions en consultant notre nouveau catalogue été 2012 (Juillet-Août), où un vaste choix de produits aux meilleurs prix vous attend. !!! 

http://www.mytek.tn/catalogue_juillet-aout_2012/index.html",photo
78,Timeline Photos,109,"PC Portable ASUS ROG GL552JX Gaming Without Limits, 1849 TTC seulement !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
79,40 Dinars de Réduction,108,Du jamais vu! La Tablette Acer B1-720 est en promotion à 149DT seulement au lieu de 189DT,offer
80,Timeline Photos,108,"Bonjour et Bon Début de Semaine à Toutes & à Tous :)
www.mytek.tn",photo
81,Timeline Photos,107,"Ennajeh yerfaa eidou !!!!!! Haut !!!!...Haut !!! & Haut !!!!
A l’occasion de votre réussite aux examens de Baccalauréat, nous vous présentons nos sincères félicitations en vous souhaitant un avenir radieux plein de succès et de prospérité.
******
6ème idée Cadeau : Transformez votre style avec L'ASUS Transformer Pad TF101 disponible chez MyTEK au prix de : 989 DT",photo
82,Mr Bean - Car park trouble,107,www.mytek.tn,video
83,Timeline Photos,106,"::::: Exécutez vos tâches informatiques quotidiennes pratiquement n’importe où grâce au solide DELL Inspiron N5050... Un Style simplifié, puissant & économique !",photo
84,Timeline Photos,105,"*** Le nouveau caméscope HD Samsung F80 réinvente vos vidéos familiales avec fonctionnalités innovantes telles qu’un zoom optique 52x, une sortie HDMI, la fonction musique de fond 2.0 et My Clip.

***** Disponible chez MyTEK au prix de 449 DT *****
*************************** Profitez-en !!!!!!!!!!!

Pour plus de détails techniques sur cette offre, prière visiter notre site ou suivre ce lien : 
http://www.mytek.tn/camescope/763-samsung-camescopes-hmx-f80.html",photo
85,+ 1500 articles en stock,103,Du jamais vu! La Tablette Acer B1-720 est en promotion à 149DT seulement au lieu de 189DT.,offer
86,Timeline Photos,102,"MyTEK recrute...
www.mytek.tn",photo
87,Timeline Photos,101,"Hoverboard est disponible chez Mytek à 669 TTC seulement !!
www.mytek.tn",photo
88,Timeline Photos,101,"PC Portable LENOVO G5030 Profitez, à 379 TTC !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
89,MyTEK,101,,photo
90,Timeline Photos,100,"Mytek fait toujours l’exception !! Tablette Huawei Media Pad X1 à prix fou !!! 
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
91,Réduction 100 DT !!,99,Tablette Acer Iconia B1-721 à 229 TTC au lieu de 329 TTC + 1Go d'internet offerte !!,offer
92,Timeline Photos,98,"Découvrez avec Mytek le nouveau lisseur Simbo 2en1 à 34.900 TTC !! 
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
http://www.mytek.tn/",photo
93,Timeline Photos,96,"Le PC Gamer le plus puissant du marché by ASUS ROG® G752VS i7-6820HQ/32Go /17.3"" Full HD/1To HDD & 2x512Go SSD/GTX 1070 8Go/Sac à dos ROG + Casque Gamer + Souris Gamer à 4 859dt
http://www.mytek.tn/pc-gamer-tunisie/9253-pc-portable-asus-rog-g752vsi7-6e-gen-32go-1to512go-ssd.html",photo
94,Timeline Photos,96,"Les meilleures offres sont toujours chez Mytek !! Smart Phone Huawei Ascend P8 + Film de protection & Flip Cover à 1299 TTC seulement !!
www.mytek.tn",photo
95,أذكار المساء,96,,link
96,Timeline Photos,95,"Micro-ondes LG  20 Litres à 199dt au lieu de 259dt !
http://www.mytek.tn/micro-onde/9981-micro-ondes-lg-ms2043h-20-litre.html",photo
97,PROFITEZ  VITE !!!!!,95,LE MOIS DES PROMOS CHEZ MYTEK : PLUS QUE 1500 ARTICLES EN STOCK,offer
98,Timeline Photos,94,"*******ASUS Eee Pad Transformer TF101*******
Avec ou sans clavier,votre tablette comme vous le voulez, où vous le voulez
www.mytek.tn",photo
99,Timeline Photos,94,"Inchallah eidkom mabrouk w snine dayma !!! :)
Yen3ad alikom bel saha wel farha ye rab.

www.mytek.tn",photo
100,MyTEK,94,"Ahla sbeh le ahla ness !

Faites le plein de bonnes affaires et profitez des meilleures promotions en consultant notre nouveau catalogue été 2012 (Juillet-Août), où un vaste choix de produits aux meilleurs prix vous attend. !!!

::::: Prière consulter notre site ou suivre ce lien : http://www.mytek.tn/catalogue_juillet-aout_2012/index.html",photo
101,Timeline Photos,93,"Profitez de super promo chez myTEK :
Pc Portable VEGA BOOK Quad-Core 2Go de RAM et 32Go Disque Dur+ Windows10+sacoche+souris à 359 dt seulement !
http://www.mytek.tn/pc-portable/10024-pc-portable-vega-book-quad-core-2go-32gb-me-.html",photo
102,Pro Evolution Soccer 2012,93,Géniale !!!,video
103,Timeline Photos,92,"Profitez des meilleures offres seulement chez MyTEK : CHARGUIA-TUNIS-ARIANA-SOUSSE
::::::HP 650S à 779TTC au lieu de 849TTC::::::
www.mytek.tn",photo
104,MyTEK,92,,photo
105,Timeline Photos,91,"Hoverboard est disponible chez Mytek à 485 TTC au lieu de 699 TTC !!
www.mytek.tn",photo
106,Humeur & Bon goût...,91,"Bonjour à toutes et à tous !!! Excellent début de semaine !
Com d'hab', Pleins de promos et de nouveaux produits vous attendent sur notre site web : www.mytek.tn",photo
107,Timeline Photos,90,"MyTEK recrute
www.mytek.tn",photo
108,Timeline Photos,89,"Profitez ! ASUS GL552JX GAMER ROG, à 2099 TTC seulement !!
Disponible à partir du 18/11 dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
109,Timeline Photos,88,"Bicyclette Rodeo Hello Kitty pour Filles à 99 DT Seulement ! !
Pour les 20 premières Commandes en ligne au lieu de 159dt.
http://www.mytek.tn/bicyclettes-enfants/7328-bicyclette-hello-kitty-pour-filles-12-hk12.html",photo
110,Timeline Photos,88,"Chauffage Electrique Biolux à 16.900 TTC seulement !!!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
111,A 149 DT seulement,88,Profitez vous  vite des meilleurs produits aux meilleurs prix!!!Asus Memo Pad 7 à 149 DT !,offer
112,MyTEK,88,"Bonjour à toutes et à tous !!! Inchallah nharkom as3ad el ayem !!!
::::::: Faites le plein de bonnes affaires et profitez des meilleures promotions en consultant notre nouveau catalogue été 2012 (Juillet-Août), où un vaste choix de produits aux meilleurs prix vous attend. !!!

::::: Prière consulter notre site ou suivre ce lien : http://www.mytek.tn/catalogue-juillet-2012/catalogue.html",photo
113,Timeline Photos,87,"PC LENOVO G5030 Quad Core à 499 TTC !!! Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
www.mytek.tn",photo
114,MyTEK,87,"::::::: Catalogue MyTEK Juillet-Août 2012 :::::::

Faites le plein de bonnes affaires et profitez des meilleures promotions en consultant notre nouveau catalogue été 2012 (Juillet-Août), où un vaste choix de produits aux meilleurs prix vous attend. !!!

::::: Prière consulter notre site ou suivre ce lien : http://www.mytek.tn/catalogue-juillet-2012/catalogue.html",photo
115,MyTEK,86,,photo
116,Guiness World Record 2011 Cubo ( Bendado ),86,Incroyable !!,link
117,Timeline Photos,85,"Le nouveau #PC #Gamer HP Omen® chez MyTEK à 2199DT au lieu de 2399DT pour les 10 premiers clients 
http://www.mytek.tn/pc-gamer-/9647-pc-portable-hp-omen-15-ax201nk-i7-7e-gen-12go-1to-128go-ssd.html",photo
118,Timeline Photos,85,Du jamais vu! La Tablette Acer B1-720 est en promotion jusqu'au la fin d'année à 149DT seulement au lieu de 189DT,photo
119,Timeline Photos,85,"Tablette PointOfView MOBII 701 à 149 TTC au lieu de 199 TTC !!
www.mytek.tn",photo
120,Timeline Photos,84,"Hoverboard à 399dt Seulement !
http://www.mytek.tn/recherche?controller=search&orderby=position&orderway=desc&search_query=hoverboard+577&submit_search=",photo
121,Timeline Photos,84,"Disponible à un prix très avantageux, l'ordinateur portable HP Compaq HP CQ 57-465SK est un modèle survitaminé au niveau des performances et de la mobilité. Ce modèle intégré en effet un processeur Intel iCore, 4096 Mo de mémoire DDR3 et permet une excellente connectique filiaire et non filiaire. De plus, malgré ses dimensions minimes et son poids de seulement 2,5 kg, cet ordinateur portable possède un écran large de 15.6"" pour un affichage confortable mais également un graveur DVD Super Multi.

:::::::::::::: Disponible chez MyTEK au prix réduit de 699 DT !",photo
122,Timeline Photos,83,"Bonjour et Bon vendredi à Tous ...
www.mytek.tn",photo
123,Timeline Photos,83,"Bon début de semaine à tous :)
www.mytek.tn",photo
124,MyTEK,83,,photo
125,Timeline Photos,81,"Bonjour et Bon vendredi à Tous ...
www.mytek.tn",photo
126,Timeline Photos,79,"Bonjour et Bon Vendredi 
www.mytek.tn",photo
127,Timeline Photos,78,"Promotion PC Portable ASUS X501A-XX465D à 559 TTC au lieu de 619 TTC !!
www.mytek.tn",photo
128,Timeline Photos,78,"Découvrez la nouvelle Tablette PointOfView MOBII 701 !!!
Idéale comme compagnon de tous les jours !!!
www.mytek.tn",photo
129,نشيد :: سوف نبقى هنا :: جميل جدا و رااائع !!,78,Une petite pensée pour nos frères Libyens,video
130,MyTEK,77,"MyTEK recrute
www.mytek.tn",photo
131,L'imprimante châtiée !,76,,video
132,Timeline Photos,75,"Les meilleurs offres sont toujours chez Mytek !! La tablette ASUS Memo Pad 7''/ 1Go Ram/ Double camera à 149 TTC au lieu de 199 TTC !!
www.mytek.tn",photo
133,MyTEK,75,":::::  Le nouveau catalogue de MyTEK ""Eté 2012"" vient de paraître. Celui-ci vous apporte toute une offre riche et diversifiée à vos besoins en matière Informatique; Image; TV & HiFi. 
Pour le feuilleter, prière visiter notre site ou suivre ce lien : http://www.mytek.tn/catalogue-juillet-2012/catalogue.html

:::::::::: MyTEK, votre fournisseur de plaisir High Tech !!! ::::::::::",photo
134,Timeline Photos,75,"::::::::::::::::::::  SONY CYBERSHOT DSC-W530  :::::::::::::::::::

Léger, compact et confortable à porter, l'appareil photo numérique W530 Cyber-shot™ est le compagnon idéal de vos vacances, de vos réunions de famille et bien plus. Une qualité d'image incomparable est associée à une utilisation simple, même si vous êtes débutant en matière de photographie numérique.

:::::::::::::::::::::::::  Disponible chez MyTEK au prix de 279 DT !",photo
135,Timeline Photos,74,"Bonjour et bon Vendredi à tous :)
www.mytek.tn",photo
136,MyTEK,74,,photo
137,Tablette-Phone,72,Profitez des appels téléphoniques avec votre Tablette Lenovo A3300 à 199DT seulement,offer
138,Timeline Photos,72,"*** Faites l'achat d'un netbook compact, efficace et pas cher en choisissant le netbook Acer Aspire One D270 ! cet netbook Acer répondra efficacement à tous vos besoins essentiels tout en offrant une bonne autonomie.

:::: Ce n'est qu'un extrait d'un si vaste choix de nouveaux produits et de bonnes affaires regroupés dans notre nouveau catalogue Eté 2012 présent sur ce lien : http://www.mytek.tn/catalogue_juillet-aout_2012/index.html",photo
139,Traitement de texte Dell Inspiron Duo,71,MyTEK vous souhaite une agréable journée :),video
140,Timeline Photos,70,"Découvrez avec Mytek le nouveau lisseur Sinbo 2en1 à 34.900 TTC !! 
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
www.mytek.tn",photo
141,Timeline Photos,69,"STOP PROMO !!!
TV 40'' Full HD Smart Ecolux + Radio Réveil Grunding à 689 TTC seulement !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
www.mytek.tn",photo
142,Timeline Photos,69,"MyTEK recrute
www.mytek.tn",photo
143,MyTEK,69,"::::: Le nouveau catalogue de MyTEK ""Eté 2012"" vient de paraître. Celui-ci vous apporte toute une offre riche et diversifiée à vos besoins en matière Informatique; Image; TV & HiFi. 
Pour le feuilleter, prière visiter notre site ou suivre ce lien : http://www.mytek.tn/catalogue-juillet-2012/catalogue.html",photo
144,Timeline Photos,69,"Mahleha farhet el BAC... Farhet el famille... Farhet el Ahbeb wel ashab !!!!
Inchallah dima malmoumin w fel khir met'henyeen !!!
******
18ème idée Cadeau : Immortalisez ces moments uniques avec l'APN Sony CyberShot DSC-W530. Léger, compact et élégant, permet à tout photographe de capturer des images de qualité. C'est un appareil très simple à utiliser, adapté pour les vacances et les réunions de famille.
****** Disponible chez MyTEK au prix de 279 DT.",photo
145,Humeur & Bon goût...,68,"::: La vie n'est que la sommation de nos perceptions ! Vivez la en couleurs!!! :::
Bonjour à toutes & à tous...

www.mytek.tn",photo
146,Recrutement...,68,"MyTEK recrute...
www.mytek.tn",photo
147,The Best Funny & Amazing Moments,68,Mytek vous souhaite une très belle journée !!!,video
148,Timeline Photos,67,"Profitez Smart Watch V9 à 99 TTC au lieu de 129 TTC !! Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
149,Timeline Photos,66,"A ne pas rater !! Pack Mariage Russel Hobbs à 169 TTC seulement !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
150,24% de réduction,66,Economisez 21 Dinars sur l'achat de cette magnifique Tablette,offer
151,Timeline Photos,66,"PROMO HP S250 G2 Core i5 à seulement 829 TTC 
www.mytek.tn",photo
152,Timeline Photos,66,"::::::::::::: ACER ICONIA TAB A200 :::::::::::::

Préparez-vous à un nouveau monde de divertissement, d'information et de connectivité aux bouts de vos doigts ! Choisissez une tablette Internet performante et pas chère en faisant l'achat de la tablette Acer Iconia Tab A200 Disponible Chez MyTEK au prix réduit de 739 DT.

www.mytek.tn",photo
153,MyTEK,66,,photo
154,Timeline Photos,65,"Pc Portable Lenovo Idea Pad E10 à 299 TTC !!  Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
www.mytek.tn",photo
155,Timeline Photos,63,SABA 48’’ FULL HD + PAIEMENT 6 FOIS SANS INTÉRÊT+ GARANTIE 2 ANS à 999 TTC au lieu de 1099 TTC !!!,photo
156,Timeline Photos,63,"Les meilleurs offres sont toujours chez Mytek ! HP 250 G3 Dual Core 2 Go 500 Go à 435 TTC seulement !!!
www.mytek.tn",photo
157,Timeline Photos,63,"Les meilleures offres sont toujours chez Mytek ! Smart Phone Lenovo A319 à 189 TTC seulement !!!
www.mytek.tn",photo
158,Timeline Photos,63,Du jamais vu! La Tablette Acer B1-720 est en promotion à 149DT seulement au lieu de 189DT,photo
