,link_name,num_comments,status_message,status_type
0,Timeline Photos,295,"Tablette PointOfView MOBII 701 à 149 TTC au lieu de 199 TTC !!
www.mytek.tn",photo
1,Timeline Photos,245,"انتي زادة تنجم تربح معانا !!!
-اعمل j'aime على  page Mytek 👍
-اعمل  j'aime عالتصويرة 👍
- بارتاجيها
=> تدخل في قرعة و تربح Tablette ASUS نهار 6 نوفمبر 2015",photo
2,Timeline Photos,243,"A ne pas rater !! Pack Mariage Russel Hobbs à 169 TTC seulement !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
3,Timeline Photos,224,"Tablette AXON Kidzy 70 7"" WiFi  à 65dt DT Seulement ! !
Pour les 20 premières Commandes en ligne au lieu de 95dt.
http://www.mytek.tn/recherche?controller=search&orderby=position&orderway=desc&search_query=tablette+kidzy&submit_search=",photo
4,Timeline Photos,182,"Le PC Gamer le plus puissant du marché by ASUS ROG® G752VS i7-6820HQ/32Go /17.3"" Full HD/1To HDD & 2x512Go SSD/GTX 1070 8Go/Sac à dos ROG + Casque Gamer + Souris Gamer à 4 859dt
http://www.mytek.tn/pc-gamer-tunisie/9253-pc-portable-asus-rog-g752vsi7-6e-gen-32go-1to512go-ssd.html",photo
5,Timeline Photos,177,"Découvrez avec Mytek le nouveau lisseur Simbo 2en1 à 34.900 TTC !! 
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
http://www.mytek.tn/",photo
6,Timeline Photos,173,"انتي زادة تنجم تربح معانا !!!
-اعمل j'aime على page Mytek 👍
-اعمل j'aime عالتصويرة 👍 و بارتاجيها
=> تدخل في قرعة و تربح Tablette HP نهار 14 نوفمبر 2015
www.mytek.tn",photo
7,Timeline Photos,159,"Tablette PointOfView MOBII 701 à 149 TTC au lieu de 199 TTC !!
www.mytek.tn",photo
8,Timeline Photos,156,"Nous recrutons des conseillers commerciaux (Tunis)
Bac + 2 min / Age 35 ans max / Expérience souhaitée
Envoyer CV et LM à recrutement@mytek.tn",photo
9,Timeline Photos,154,"Bicyclette Rodeo Hello Kitty pour Filles à 99 DT Seulement ! !
Pour les 20 premières Commandes en ligne au lieu de 159dt.
http://www.mytek.tn/bicyclettes-enfants/7328-bicyclette-hello-kitty-pour-filles-12-hk12.html",photo
10,Timeline Photos,151,Inchallah 3idkom mabrouk,photo
11,Timeline Photos,148,"انتي زادة تنجم تربح معانا !!!
-اعمل j'aime على page Mytek 👍
-اعمل j'aime عالتصويرة 👍 و بارتاجيها
-و استدعى أصحابك لصفحتنا 
=> تدخل في قرعة و تربح PC ASUS  نهار 30 نوفمبر 2015
www.mytek.tn",photo
12,Timeline Photos,139,"Tablette PointOfView MOBII 701 à 149 TTC au lieu de 199 TTC !!
www.mytek.tn",photo
13,Timeline Photos,131,"Inchallah eidkom mabrouk w snine dayma !!! :)
Yen3ad alikom bel saha wel farha ye rab.

www.mytek.tn",photo
14,Timeline Photos,130,"انتي زادة تنجم تربح معانا !!!
-اعمل j'aime على page Mytek 👍
-اعمل j'aime عالتصويرة 👍 و بارتاجيها
-و استدعى أصحابك لصفحتنا 
=> تدخل في قرعة و تربح PC ASUS  نهار 30 نوفمبر 2015
www.mytek.tn",photo
15,Timeline Photos,130,"انتي زادة تنجم تربح معانا !!!
-اعمل j'aime على page Mytek 👍
-اعمل j'aime عالتصويرة 👍 و بارتاجيها
=> تدخل في قرعة و تربح Tablette ASUS نهار 6 نوفمبر 2015
www.mytek.tn",photo
16,Timeline Photos,123,"Les meilleures offres sont toujours chez Mytek ! Tablette Asus Memo Pad 7'' à 149 TTC au lieu de 199 TTC !!
www.mytek.tn",photo
17,Timeline Photos,119,"Le nouveau #PC #Gamer HP Omen® chez MyTEK à 2199DT au lieu de 2399DT pour les 10 premiers clients 
http://www.mytek.tn/pc-gamer-/9647-pc-portable-hp-omen-15-ax201nk-i7-7e-gen-12go-1to-128go-ssd.html",photo
18,Timeline Photos,117,"Profitez des meilleures offres seulement chez MyTEK : CHARGUIA-TUNIS-ARIANA-SOUSSE
Tablette ARNOVA 7 G2 4GB à seulement 149 TTC !!!!
www.mytek.tn",photo
19,Timeline Photos,110,"Tablette Acer 7"" / 16Go / 3G à 229 dinars au lieu de 329 dinars !!! www.mytek.tn",photo
20,Timeline Photos,109,"انتي زادة تنجم تربح معانا !!!
-اعمل j'aime على page Mytek 👍
-اعمل j'aime عالتصويرة 👍 و بارتاجيها
=> تدخل في قرعة و تربح Tablette ASUS نهار 6 نوفمبر 2015
www.mytek.tn",photo
21,Timeline Photos,105,"انتي زادة تنجم تربح معانا !!!
-اعمل j'aime على page Mytek 👍
-اعمل j'aime عالتصويرة 👍 و بارتاجيها
=> تدخل في قرعة و تربح Tablette ASUS نهار 6 نوفمبر 2015
www.mytek.tn",photo
22,Timeline Photos,105,"Les meilleures offres sont toujours chez Mytek ! Smart Phone Lenovo A319 à 189 TTC seulement !!!
www.mytek.tn",photo
23,Timeline Photos,104,"Micro-ondes LG  20 Litres à 199dt au lieu de 259dt !
http://www.mytek.tn/micro-onde/9981-micro-ondes-lg-ms2043h-20-litre.html",photo
24,Timeline Photos,104,"Tablette PointOfView MOBII 703 à 129 TTC !!
www.mytek.tn",photo
25,Timeline Photos,103,"Les meilleurs offres sont toujours chez Mytek !! La tablette ASUS Memo Pad 7''/ 1Go Ram/ Double camera à 149 TTC au lieu de 199 TTC !!
www.mytek.tn",photo
26,Timeline Photos,97,"انتي زادة تنجم تربح معانا !!!
-اعمل j'aime على page Mytek 👍
-اعمل j'aime عالتصويرة 👍 و بارتاجيها
=> تدخل في قرعة و تربح Tablette ASUS نهار 6 نوفمبر 2015
www.mytek.tn",photo
27,Timeline Photos,93,"Un PC Gamer ASUS ROG i7-7700HQ 7è Génération + GTX1050 4Go + Windows 10 original et 2 ANS de Garantie à 2299 DT au lieu de 2699DT !!!
http://www.mytek.tn/pc-gamer-tunisie/9130-pc-portable-asus-rog-gl753ve-i7-7e-gen-8go-1to128-go-ssd.html",photo
28,Timeline Photos,88,"Portable Packard bell Dual Core à 629 TTC seulement !
www.mytek.tn",photo
29,Timeline Photos,84,"Profitez...Mytek fait toujours l’exception !! Tablette ASUS Memo Pad 7 à moitié prix !!
Promo valable uniquement dans notre point de vente Charguia I .
www.mytek.tn",photo
30,Timeline Photos,80,"Profitez de super promo chez myTEK :
Pc Portable VEGA BOOK Quad-Core 2Go de RAM et 32Go Disque Dur+ Windows10+sacoche+souris à 359 dt seulement !
http://www.mytek.tn/pc-portable/10024-pc-portable-vega-book-quad-core-2go-32gb-me-.html",photo
31,Timeline Photos,80,"Découvrez avec Mytek le nouveau lisseur Sinbo 2en1 à 34.900 TTC !! 
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
www.mytek.tn",photo
32,Timeline Photos,80,"انتي زادة تنجم تربح معانا !!!
-اعمل j'aime على page Mytek 👍
-اعمل j'aime عالتصويرة 👍 و بارتاجيها
-و استدعى أصحابك لصفحتنا 
=> تدخل في قرعة و تربح PC ASUS  نهار 30 نوفمبر 2015
www.mytek.tn",photo
33,Timeline Photos,78,Du jamais vu! La Tablette Acer B1-720 est en promotion à 149DT seulement au lieu de 189DT,photo
34,Timeline Photos,77,"Profitez Smart Watch V9 à 99 TTC au lieu de 129 TTC !! Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
35,Timeline Photos,74,"Lenovo Y5070 à 1839 au lieu de 1939 et 2 cadeaux en plus !!!
http://www.mytek.tn/pc-gamer-/2145-pc-portable-lenovo-y5070-i7-16go-.html
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)",photo
36,Timeline Photos,74,Du jamais vu! La Tablette Acer B1-720 est en promotion jusqu'au la fin d'année à 149DT seulement au lieu de 189DT,photo
37,Timeline Photos,72,"PC LENOVO G5030 Quad Core à 499 TTC !!! Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
www.mytek.tn",photo
38,,69,"10% de Réduction PROMO Exclusive Commande En Ligne.
Pour commander : 
http://www.mytek.tn/pc-portable/12595-pc-portable-asus-vivobook-max-x541sc-dual-core-4go-500go-silver.html",photo
39,Timeline Photos,68,"Hoverboard est disponible chez Mytek à 485 TTC au lieu de 699 TTC !!
www.mytek.tn",photo
40,Timeline Photos,68,"PC Portable ASUS ROG GL552JX Gaming à 1729 TTC au lieu de 1849 TTC !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
41,Timeline Photos,67,":::::::  Promo !! ... Promo !! ... Promo !! ... Promo !! ... :::::::

Pour Tout achat d'un PC portable effectué entre le 20 et le 25 Juillet 2012, MyTEK vous offre gratuitement la sacoche !",photo
42,Timeline Photos,66,"Pc Portable Lenovo Idea Pad E10 à 299 TTC !!  Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
www.mytek.tn",photo
43,Timeline Photos,65,"A ne pas rater !! Pack Mariage Russel Hobbs à 169 TTC seulement !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
44,,63,"PC Portable HP OMEN - 15-ax204nk i7 7è Gén 16Go 2To 128SSD à 2399dt au lieu de 2559dt
Promo valable du 29/11 au 06/12
Pour commander :
 http://www.mytek.tn/pc-gamer-/9930-pc-portable-hp-omen-15-ax204nk-i7-7e-gen-16go-2to-128ssd.html",photo
45,Timeline Photos,63,"VENTE  FLASH   HP Pavilion Intel i7 4ème génération à 1349 TTC au lieu de 1489 TTC !! 
www.mytek.tn",photo
46,Catalogue Juillet-Août 2012...,63,":::::::  Catalogue MyTEK Juillet-Août 2012  :::::::

Faites le plein de bonnes affaires et profitez des meilleures promotions en consultant notre nouveau catalogue été 2012 (Juillet-Août), où un vaste choix de produits aux meilleurs prix vous attend. !!!

::::: Prière consulter notre site ou suivre ce lien : http://www.mytek.tn/catalogue-juillet-2012/catalogue.html",photo
47,Timeline Photos,62,"Profitez avec MyTEK !
Smartphone ASUS ZenFone GO 3G à 199dt au lieu de 249dt
Smartphone ASUS ZenFone GO 4G à 299dt au lieu de 349dt
http://www.mytek.tn/142-smartphone-tunisie#/fabricant-asus/systeme_d_exploitation-android",photo
48,Timeline Photos,61,"SABA 48’’ FULL HD + PAIEMENT 6 FOIS SANS INTÉRÊT+ GARANTIE 2 ANS à 1060 TTC !!!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
www.mytek.tn",photo
49,Timeline Photos,60,"Les meilleurs offres sont toujours chez Mytek ! HP 250 G3 Dual Core 2 Go 500 Go à 435 TTC seulement !!!
www.mytek.tn",photo
50,Timeline Photos,60,"Petit prix mais grand style ! profitez de la Tablette Aikun 7"" 8Go Wifi à 95DT seulement",photo
51,Timeline Photos,60,"Livraison GRATUITE en Tunisie
PC Portables, Tablettes, Imprimantes & Accessoires 
www.mytek.tn",photo
52,Timeline Photos,60,"Disponible à un prix très avantageux, l'ordinateur portable HP Compaq HP CQ 57-465SK est un modèle survitaminé au niveau des performances et de la mobilité. Ce modèle intégré en effet un processeur Intel iCore, 4096 Mo de mémoire DDR3 et permet une excellente connectique filiaire et non filiaire. De plus, malgré ses dimensions minimes et son poids de seulement 2,5 kg, cet ordinateur portable possède un écran large de 15.6"" pour un affichage confortable mais également un graveur DVD Super Multi.

:::::::::::::: Disponible chez MyTEK au prix réduit de 699 DT !",photo
53,Timeline Photos,59,"Spécial rentrée scolaire !!! Pc Portable LENOVO E10 + Tablette Super TAB Offerte à 499 TTC seulement !!!!
www.mytek.tn",photo
54,Timeline Photos,59,"Les meilleures offres sont toujours chez Mytek !! Smart Phone Lenovo A319 /  DC1.3Ghz/4''/ 4Go/ Ram 512Mo/ Double Camera à 189 DT seulement !!
www.mytek.tn",photo
55,Timeline Photos,57,"PC Portable HP Pavilion G6-2301EK à 999 TTC au lieu de 1069 TTC avec plusieurs cadeaux surprise !! 
www.mytek.tn",photo
56,Timeline Photos,57,"Profitez des meilleures offres seulement chez MyTEK : CHARGUIA-TUNIS-ARIANA-SOUSSE
::::::HP 650S à 779TTC au lieu de 849TTC::::::
www.mytek.tn",photo
57,Timeline Photos,56,"PC Portable LENOVO G5030 Profitez, à 379 TTC !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
58,Timeline Photos,56,"Vivez une expérience de jeu en 3D incomparable avec le nouveau ASUS ROG G74 disponible en exclusivité chez Mytek au prix de 3259D.
www.mytek.tn",photo
59,,55,"Mouled mabrouk ...
PACK BLACK & DEKER Blender + Hachoir Mini + Mixeur Plongeant à 199dt au lieu de 259dt ...
Pour commander :
http://www.mytek.tn/mixeur-tunisie/13509-pack-black-deker.html",photo
60,Timeline Photos,55,"Exclusivité !!! 
Le smartphone 4G le moins cher en Tunisie chez myTEK ...
http://www.mytek.tn/smartphone-tunisie/8761--smartphone-alcatel-pixi-3-.html
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse",photo
61,MyTEK's cover photo,55,,photo
62,Timeline Photos,54,"Built to win!
ASUS X550VX- XX057D I7 8Go 1To avec Carte Graphique NVIDIA® GeForce® GTX 950M à 1799dt chez mytek
http://www.mytek.tn/pc-portable/7584-pc-portable-asus-x550vx-xx057d-i7-8go-1to.html?search_query=x550vx-xx057d&results=2
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)",photo
63,Timeline Photos,54,"Pack vidéosurveillance TECH-COM : 4 cameras+DVR pour 429 TTC seulement ! Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
64,Patriotes de Tunisie,54,,photo
65,Timeline Photos,53,"Les meilleures offres sont toujours chez Mytek !! Tablette D-Link + pack offert à 119 seulement !!
www.mytek.tn",photo
66,Timeline Photos,53,Du jamais vu! La Tablette Acer B1-720 est en promotion à 149DT seulement au lieu de 189DT,photo
67,Timeline Photos,52,SABA 48’’ FULL HD + PAIEMENT 6 FOIS SANS INTÉRÊT+ GARANTIE 2 ANS à 999 TTC au lieu de 1099 TTC !!!,photo
68,Timeline Photos,52,"Découvrez la nouvelle Tablette PointOfView MOBII 701 !!!
Idéale comme compagnon de tous les jours !!!
www.mytek.tn",photo
69,Timeline Photos,51,"Brisez les barrières, La machine de combat utlime. #Republic_Of_Gamers 
Vente flash disponible chez Mytek à 1689 TTC dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
70,Timeline Photos,51,"Nouveauté chez Mytek !! La facilité sur 6 fois sans frais !!
www.mytek.tn",photo
71,Timeline Photos,51,"***** De la performance dans un boitier ultra fin et design ******
Le nouveau Samsung ST66 est l'ultime alliance entre l'extrême finesse et la performance photographique. Avec son capteur 16 Millions de pixels et son ouverture F2.5, il vous livrera toute l'amplitude photographique dont vous avez besoin en toute circonstance.
----> Disponible chez MyTEk en plusieurs coloris au prix de 269 DT",photo
72,,50,"Pc Portable Dell Inspiron 7567 i7 7é Gén 16Go 1To+128SSD + cent cinquante dinars bon de réduction  , pour toute réservation avant le 05-12-2017.
Produit disponible en noir et rouge.
Pour plus d'informations : 
http://www.mytek.tn/recherche?controller=search&orderby=position&orderway=desc&search_query=Pc+Portable+Dell+Inspiron+7567+&submit_search=",photo
73,Timeline Photos,50,"En exclusivité chez mytek...
Pour 1 dinars de plus profitez de 2 ans de garantie sur votre smartphone
http://www.mytek.tn/
Livraison expresse assurée sur toute la Tunisie Tél : 22232232",photo
74,Timeline Photos,50,"Profitez ! ASUS GL552JX GAMER ROG, à 2099 TTC seulement !!
Disponible à partir du 18/11 dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
75,Timeline Photos,50,"Evertek EverMiracle sur 5 fois sans intérêt !! Profitez !!
www.mytek.tn",photo
76,Timeline Photos,49,"Enregistrer tout ce qui se déroule devant vous...
Dashcam FullHD est disponible chez Mytek a 135DT seulement!!!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
77,+ 1500 articles en stock,49,Du jamais vu! La Tablette Acer B1-720 est en promotion à 149DT seulement au lieu de 189DT.,offer
78,Timeline Photos,49,"Petit prix mais grand style ! profitez de la Tablette Aikun 7"" 8Go Wifi à 95DT seulement",photo
79,Timeline Photos,48,"Exclusivité !!! 
Le smartphone 4G le moins cher en Tunisie chez myTEK ...
http://www.mytek.tn/smartphone-tunisie/8761--smartphone-alcatel-pixi-3-.html
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse",photo
80,Timeline Photos,48,"Pour des fêtes encore plus folle !! Profitez du pack Asus : Pc Portable + Tablette 3G , les deux à 599 TTC seulement !!!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
81,Timeline Photos,48,"C 'parti...chez Mytek !! 15 jours de folie à petit prix !! Du 1er jusqu'au 15 Octobre 2013.
www.mytek.tn",photo
82,Timeline Photos,47,"Les meilleures offres sont toujours chez Mytek !! Tablette Lenovo IdeaPad A3500 7''/QC1.3Ghz/1Go/16Go/3G/Double Camera..à 269 TTC seulement !!
www.mytek.tn",photo
83,Timeline Photos,46,"Les meilleurs offres sont toujours chez Mytek ! HP 250 G3 Dual Core /2 Go/ 500 Go / à 435 TTC seulement !!!
www.mytek.tn",photo
84,Timeline Photos,45,"Les meilleurs offres sont toujours chez Mytek ! Tablette HP Slate 10 HD 3604ef / 10"" / 3G / à 399 TTC seulement !!!
www.mytek.tn",photo
85,Recrutement...,45,"MyTEK recrute ...

www.mytek.tn",photo
86,Timeline Photos,44,"Hoverboard à 399dt Seulement !
http://www.mytek.tn/recherche?controller=search&orderby=position&orderway=desc&search_query=hoverboard+577&submit_search=",photo
87,Timeline Photos,44,"Pack vidéosurveillance TECH-COM : 4 cameras+DVR pour 429 TTC seulement ! Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
88,Timeline Photos,44,"Les meilleurs offres sont toujours chez Mytek ! Samsung Galaxy TAB 3 à 259 TTC seulement !!!
www.mytek.tn",photo
89,Timeline Photos,44,"Les meilleurs offres sont toujours chez Mytek !Tablette Acer Iconia B1-721 à 229 TTC au lieu de 329 TTC + 1Go d'internet offerte !!
www.mytek.tn",photo
90,Timeline Photos,44,"Promotion PC Portable ASUS X501A-XX465D à 559 TTC au lieu de 619 TTC !!
www.mytek.tn",photo
91,Timeline Photos,43,"انتي زادة تنجم تربح معانا !!!
-اعمل j'aime على page Mytek 👍
-اعمل j'aime عالتصويرة 👍 و بارتاجيها
-و استدعى أصحابك لصفحتنا 
=> تدخل في قرعة و تربح PC ASUS  نهار 30 نوفمبر 2015
www.mytek.tn",photo
92,Timeline Photos,43,"Petit prix mais grand style ! profitez de la Tablette Aikun 7"" 8Go Wifi à 95DT seulement",photo
93,Timeline Photos,43,,photo
94,Timeline Photos,42,"Les meilleurs offres sont toujours chez Mytek ! Samsung Galaxy TAB 3 à 259 TTC seulement !!!
www.mytek.tn",photo
95,Timeline Photos,42,"C 'parti...chez Mytek !! 15 jours de folie à petit prix !! Du 1er jusqu'au 15 Octobre 2013.
www.mytek.tn",photo
96,Timeline Photos,42,"::::: Exécutez vos tâches informatiques quotidiennes pratiquement n’importe où grâce au solide DELL Inspiron N5050... Un Style simplifié, puissant & économique !",photo
97,Timeline Photos,41,"Pour des fêtes encore plus folles !! Profitez du pack Asus : Pc Portable + Tablette 3G , les deux à 599 TTC seulement !!!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
98,Timeline Photos,41,"Les meilleurs offres sont toujours chez Mytek ! Samsung Galaxy TAB 3 à 259 TTC seulement !!!
www.mytek.tn",photo
99,Timeline Photos,41,"Nouveauté chez Mytek !! Smartphone EverMellow D50 à 269 TTC 
Un grand choix de Mobile & Smartphone sur : www.mytek.tn",photo
100,Timeline Photos,41,"MyTEK recrute...
www.mytek.tn",photo
101,Timeline Photos,41,Mytek souhaite bonne chance pour l'équipe nationale de football...  !!!,photo
102,,41,"Merci à tous ceux qui nous ont fait confiance et à tous ceux qui ont participé au succès phénoménal de notre foire privée dans nos points de vente et sur notre site web :)
www.mytek.tn",status
103,Timeline Photos,40,"Smartphone ASUS ZenFone 3 Laser 64Go à 699dt 
http://www.mytek.tn/smartphone-tunisie/8785-smartphone-asus-zenfone-3-laser-4go-32go-4g-zc551kl.html",photo
104,Timeline Photos,40,"Pc Portable ASUS X550JX LIGHT GAMING à 1499 TTC !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
www.mytek.tn",photo
105,Timeline Photos,40,"Les meilleures offres sont toujours chez Mytek !! Smart Phone Huawei Ascend P8 + Film de protection & Flip Cover à 1299 TTC seulement !!
www.mytek.tn",photo
106,24% de réduction,40,Economisez 21 Dinars sur l'achat de cette magnifique Tablette,offer
107,Timeline Photos,40,Le meilleur rapport Qualité/Prix par HP à 499TTC seulement !!!,photo
108,Timeline Photos,39,"STOP PROMO !!!
TV 40'' Full HD Smart Ecolux + Radio Réveil Grunding à 689 TTC seulement !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
www.mytek.tn",photo
109,Timeline Photos,39,"Profitez du meilleur Pack Sony..!! Smart Phone Xperia M + Casque professionnel Sony à 239 TTC seulement !!!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) www.mytek.tn",photo
110,Timeline Photos,39,"Exécutez vos tâches informatiques quotidiennes pratiquement n’importe où grâce au solide DELL Inspiron N5050... Un Style simplifié, puissant & économique.",photo
111,Timeline Photos,39,,photo
112,Timeline Photos,38,"Hoverboard est disponible chez Mytek à 669 TTC seulement !!
www.mytek.tn",photo
113,Timeline Photos,38,"Mytek fait toujours l’exception !! Tablette Huawei Media Pad X1 à prix fou !!! 
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
114,Timeline Photos,38,"Les offres de l'année chez MyTEK commencent !!
www.mytek.tn",photo
115,Timeline Photos,38,اللهم ألبسنا بالقرآن الحلل واسكنا به الظلل وأسبغ علينا به النعم وأدفع عنا به النقم واجعلنا به عند الجزاء من الفائزين وعند النعماء من الشاكرين وعند البلاء من الصابرين ولا تجعلنا ممن استهوته الشياطين فشغلته بالدنيا عن الدين فأصبح من النادمين وفي الأخرة من الخاسرين.اللهم آمين.,photo
116,Timeline Photos,37,"Appareil Photo CANON IXUS 160 à 199 TTC !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse)
http://www.mytek.tn/appareil-photo-numerique-tunisie/3077-canon-ixus-160-noir.html?search_query=ixus&results=4",photo
117,Timeline Photos,37,"Les meilleures offres sont toujours chez Mytek !!! Pc Portable Lenovo Idea Pad E10 Dual Core n2840 / 2Go DD3/ 500Go / Ecran 10"" à 299 TTC seullement !!!!
www.mytek.tn",photo
118,Timeline Photos,37,"Offre EXCLUSIVE chez Mytek !! Pc portable ASUS X553MA BING Dual Core N2840/ 4Go/ 500Go/ 15.6''/ Intel HD/ Win8.1 à 499 seulement !!!
www.mytek.tn",photo
119,Timeline Photos,37,":::::::::::: PCs de Bureau DELL ::::::::::::

Choisissez le PC DELL qui vous convient ! C'est à votre choix... Il Vostro !!!!

Que vous soyez Pro, Polyvalent, Multimédia ou Turbo; MyTEk a pensé à vous et elle vous offre le PC de bureau DELL qui correspond à vos besoins et à vos attentes!!!",photo
120,Timeline Photos,36,"A ne pas rater !! Pack Mariage Russel Hobbs à 169 TTC seulement !!
Disponible dans nos 5 magasins (Tunis centre, Charguia I, Ariana, Nabeul & Sousse) 
www.mytek.tn",photo
121,Timeline Photos,36,Les meilleurs offres sont toujours chez Mytek !! Le Smartphone Samsung Galaxy J1 est seulement à 299 TTC !!!,photo
122,A 149 DT seulement,36,Profitez vous  vite des meilleurs produits aux meilleurs prix!!!Asus Memo Pad 7 à 149 DT !,offer
